upc14,upc12,brand,name
8.98999E+11,8.98999E+11,Vita Coco,Coconut Wtr Peach Mango
8.12475E+11,8.12475E+11,Alo,Coconut Wtr Peach&kiwi
8.38927E+11,8.38927E+11,Natures Delite,Coconut Wtr Pulp
11259904223,11259904223,Taste Nirvana,Coconut Wtr Pulp Can
11259806886,11259806886,Taste Nirvana,Coconut Wtr Pulp Natural
41331027793,41331027793,Goya,Coconut Wtr Pure 100%
8.53883E+11,8.53883E+11,C20,Coconut Wtr Pure Hlfpalt 792pc
11259904247,11259904247,Taste Nirvana,Coconut Wtr Rl Big Bttl
8.90742E+11,8.90742E+11,Tongo Coconut Water,Coconut Wtr Tahitian Lime
11259904537,11259904537,Taste Nirvana,Coconut Wtr Thai Chili
8.57478E+11,8.57478E+11,Greater Than,Coconut Wtr Trpcl
41331027861,41331027861,Goya,Coconut Wtr Unsweet
75370001322,75370001322,Conchita,Coconut Wtr Unswtn
8.90742E+11,8.90742E+11,Tongo Coconut Water,Coconut Wtr Warrior Punch
41331026970,41331026970,Goya,Cocout Wtr & Guava
3.06969E+11,3.06969E+11,Boiron,Cocyntal .34z Sngl
2.01634E+11,2.01634E+11,Usda Seafood,Cod - 2 Ct
20634300000,20634300000,Usda Seafood,Cod - 2 Ct
7.31149E+11,7.31149E+11,Aqua Star,Cod Battrd Crspy
7.31149E+11,7.31149E+11,Aqua Star,Cod Crunchy
2.08693E+12,86930000004,Usda Seafood,Cod Fillet Wild
2.0865E+12,86500000007,Usda Seafood,Cod Fillet Wild Fresh
2.14022E+11,2.14022E+11,Usda Seafood,Cod Fillet With Bayou Cajun Seasoning
2.14022E+11,2.14022E+11,Usda Seafood,Cod Fillet With Sweet Basil & Lemon Seasoning
35493296319,35493296319,Fishery Products,Cod Glchstr Filet 40-4z Pc
2.07259E+12,72590000003,Usda Seafood,Cod Loin Capt Cut Wild
2.08668E+12,86680000002,Usda Seafood,Cod Loin Capt Cut Wild Fresh
2.0726E+11,2.0726E+11,Usda Seafood,Cod Loins
7.58313E+11,7.58313E+11,Flavour Creations,Coffe 8flvr Dsp 48pc
8.10347E+11,8.10347E+11,Bru,Coffee
72003054076,72003054076,Stewarts,Coffee 100% Clmbn
8.9943E+11,8.9943E+11,Copper Moon,Coffee 2flvr Dsp 48pc
7.32148E+11,7.32148E+11,Puroast,Coffee 2flvr Lacid Dsp 24
72003950026,72003950026,Stewarts,Coffee 3flvr Dsp 36pc
24515070303,24515070303,Discoveries,Coffee 3fvr Dsp 18pc
7.67013E+11,7.67013E+11,Black Mountain Gold,Coffee 4flvr Dsp 120pc
24515008542,24515008542,Entenmanns,Coffee 4flvr Dsp 36pc
8.9943E+11,8.9943E+11,Copper Moon,Coffee 4flvr Dsp 48pc
35700019601,35700019601,Community Coffee,Coffee 4flvr Dsp 48pc
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee 4flvr Org Dsp 60pc
77324081909,77324081909,San Francisco Bay,Coffee 4vrty Dsp 168pc
24515065989,24515065989,Hells Kitchen,Coffee 4vrty Dsp 36pc
24515068317,24515068317,Emerils,Coffee 4vrty Dsp 36pc
24515070310,24515070310,First Colony,Coffee 4vrty Dsp 36pc
41953175131,41953175131,Lavazza,Coffee 4vrty Sft Bg Dsp 2
72003053963,72003053963,Stewarts,Coffee 50 50 Light
22944197431,22944197431,Paramount,Coffee 6flvr Dsp 36pc
72003950040,72003950040,Stewarts,Coffee 6flvr Dsp 54pc
72003054069,72003054069,Stewarts,Coffee Acm
77245107894,77245107894,Elite,Coffee Aladin Turkish Vcc
7.77001E+11,7.77001E+11,Elite,Coffee Aladin Turkish Vccpck
99555387773,99555387773,Green Mountain,Coffee Almond
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Almond Amrto Org
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Choc Org
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Frnch Roast Org
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Hzlnut Org
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Java Org
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Mocha Org
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Orange Org
7.9524E+11,7.9524E+11,Teeccino,Coffee Alt Vnla Nut Org
8.15871E+11,8.15871E+11,Elite,Coffee Aroma Classic
7.20103E+11,7.20103E+11,Coffee Masters,Coffee Around The World
40000816997,40000816997,Black Mountain Gold,Coffee Astd Vlu Dsp 36pc
8.73562E+11,8.73562E+11,Wicked Joe Coffee,Coffee Bean Blend M Roast
6.4116E+11,6.4116E+11,Dazbog,Coffee Bean Brkfst Blnd
8.73562E+11,8.73562E+11,Wicked Joe Coffee,Coffee Bean Decaf D Roast
7.51229E+11,7.51229E+11,Organic Coffee Co,Coffee Bean Decaf Frnch Org
7.51229E+11,7.51229E+11,Organic Coffee Co,Coffee Bean Decaf Gor Org
6.4116E+11,6.4116E+11,Dazbog,Coffee Bean Frnch Roast
6.41161E+11,6.41161E+11,Dazbog,Coffee Bean Frnch Roast
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee Bean Ft Brkfst Org
7.51228E+11,7.51228E+11,Organic Coffee Co,Coffee Bean Ft French Org
